,Reviews
0,"
I wear a women's size 7, so I ordered a men's size 5.5 and they fit perfectly.  Super comfortable.  I searched high and low for a nice pair of shoes in the color and style I liked, and I wasn't finding anything in the women's department. Very, very difficult to find a men's 5.5, and then if you do, to find one in stock.  Always loved Pumas and going to continue buying them because these are very nicely made.  The craftsmanship is just quality, with no imperfections or cheap-looking junk on them.  Also, why are all the shoes on Amazon, or excuse me, 99% of the shoes on Amazon, currently unavailable? Thank you, Puma for actually having the shoes that you advertise available for purchase.  That is, after all, the point.  I needed them asap for work, and they showed up in less than 2 days.  Perfect colors for my job requirements.  Nice to be able to buy some work shoes that I actually would wear even when not at work instead of having to buy some nasty embarrassing shoes that make me feel like some sort of matronly dweeb and not in a good way. These shoes are sick.
"
1,"
The toe area is extremely narrow/tight and these seem to be sized a little too small. I have had 5 pairs of Puma shoes and they are all really well made (I still have all of them) but these are for some reason just a little tighter than usual. I am returning for a half size up from my usual Puma size. I bought the black on black with brown soles.
"
2,"
I have ordered a size 7 shoe in all my puma shoes . I Ordered this gorgeous shoe in a 7. I received a 7 but it's at least half an inch longer than my previous size 7 pumas.
"
3,"
Second pair of these vs the original suedes. Love them. Only concern and knew this buy the second pair was the toe box being narrow.  After wearing several times they have broken in nicely. I did add the white shoes laces to both the black and blue pair to give a nice contrast. Love the shoes.
"
4,"
It's been about 40 years since I've had a pair of these.  They've always been cool, but I don't remember them being this comfortable.I suppose nobody knows who Clyde is any more, so the named changed.  Google it.  One of the coolest dudes who ever walked the face of the earth.
"
5,"
Delivery was fast, the shoes are as advertised and comfortable, going to purchase about 2 more in different colors.
"
6,"
Have always liked pumas. Have been getting them for about 30yrs. So i am familiar w/ them and how they work
"
7,"
We love puma
"
8,"
Excellent fit and feel. Love them!!
"
9,"
Great quality. Fits true to size. Very comfortable. Fast shipping
"
10,"
I wear a women's size 7, so I ordered a men's size 5.5 and they fit perfectly.  Super comfortable.  I searched high and low for a nice pair of shoes in the color and style I liked, and I wasn't finding anything in the women's department. Very, very difficult to find a men's 5.5, and then if you do, to find one in stock.  Always loved Pumas and going to continue buying them because these are very nicely made.  The craftsmanship is just quality, with no imperfections or cheap-looking junk on them.  Also, why are all the shoes on Amazon, or excuse me, 99% of the shoes on Amazon, currently unavailable? Thank you, Puma for actually having the shoes that you advertise available for purchase.  That is, after all, the point.  I needed them asap for work, and they showed up in less than 2 days.  Perfect colors for my job requirements.  Nice to be able to buy some work shoes that I actually would wear even when not at work instead of having to buy some nasty embarrassing shoes that make me feel like some sort of matronly dweeb and not in a good way. These shoes are sick.
"
11,"
The toe area is extremely narrow/tight and these seem to be sized a little too small. I have had 5 pairs of Puma shoes and they are all really well made (I still have all of them) but these are for some reason just a little tighter than usual. I am returning for a half size up from my usual Puma size. I bought the black on black with brown soles.
"
12,"
I have ordered a size 7 shoe in all my puma shoes . I Ordered this gorgeous shoe in a 7. I received a 7 but it's at least half an inch longer than my previous size 7 pumas.
"
13,"
Second pair of these vs the original suedes. Love them. Only concern and knew this buy the second pair was the toe box being narrow.  After wearing several times they have broken in nicely. I did add the white shoes laces to both the black and blue pair to give a nice contrast. Love the shoes.
"
14,"
It's been about 40 years since I've had a pair of these.  They've always been cool, but I don't remember them being this comfortable.I suppose nobody knows who Clyde is any more, so the named changed.  Google it.  One of the coolest dudes who ever walked the face of the earth.
"
15,"
Delivery was fast, the shoes are as advertised and comfortable, going to purchase about 2 more in different colors.
"
16,"
Have always liked pumas. Have been getting them for about 30yrs. So i am familiar w/ them and how they work
"
17,"
We love puma
"
18,"
Excellent fit and feel. Love them!!
"
19,"
Great quality. Fits true to size. Very comfortable. Fast shipping
"
20,"
This tennis shoe is nice looking neat appearance. I have several pairs of puma classic suede tennis shoes that is one reason i knew about how they might fit which is good.One thing people might need to be made clear of is that this tennis shoe is leather suede upper the tongue of the shoe is material sole is rubber and the body is suede leather based on the labeling and my observation. The reason i bring this up is that the description on line says 100% synthectic thats a selling point the body of the shoe is real leather suede. Hop this helps. I would buy again if needed good price too.
"
21,"
OG black suede .. great shoe great fit
"
22,"
I had hard time order shoe on line but this was very happy with it.
"
23,"
Ok
"
24,"
Great value and comfortable shoes
"
25,"
They're just like Old School!  I wore these when I was a kid.  I love the suade look and they're trending to make a comeback.  I would highly recommend these shoes.
"
26,"
Llego en Perfecto estado y cumplió con mis expectativas.
"
27,"
This product was as advertised. Perfect fit and extremely comfortable. 10/10 would recommend.
"
28,"
The product came in packaged in the puma box. Brand new (not returned and then redistributed). The shoe looks great and the suede is nice. They spot a little if your caught out in the rain. The tow box is a little more narrow than I’m used to. Arch is ok. Over all they are a little tight. They are the correct size me.  One size up would be too big and one size down would’ve been tight and I would have returned them.  My suggestion, if you have a wide foot, this is really not for you. This is not their fault but had the toe box been a little wider, they would have gotten 5 stars.
"
29,"
good looking shoe although fit was to narrow so I returned that was very easy
"
30,"
todo exelente, envío rápido y en buen estado
"
31,"
Perfect fit. Comfortable. Durable.
"
32,"
A gift
"
33,"
Me quedo perfecto
"
34,"
Fit as expected.
"
35,"
Too small
"
36,"
Just what I wanted
"
37,"
Very nice shoe....fits perfect value for money.
"
38,"
I have been wearing these for years will continue to wear them
"
39,"
Front of shoe is tight and narrow.
"
40,"
no me gusto tanto la ccalidad se daña bastante
"
41,"
I love these shoes super comfortable and stylish.
"
42,"
It's very nice, I love the color and the comfort that it gives.  Best Choice I have made
"
43,"
Got these for my son, Richard Toucher, he says they are  comfortable and stylish and wonderful shoes to skate in! He landed his first McTwist in them and immediately was asked out by a girl to take the V card. (Not sure what that is...must be some skating thing).He was a skater boy, and she DIDN'T say, see you later boy.I guess you could say there has lucky shoes now!
"
44,"
Good
"
45,"
Si estan bonitos, aunque vienen un poco angosto xq se abre un poquito al momento que los tienes puesto.
"
46,"
Was small in the toe fit. Good looking shoe otherwise.
"
47,"
Nice, well constructed pretty comfortable overall, look good, but narrower and thereore tighter in the toe area than a 9.5 should be IMO.  It is almost as is the sizing is off.  Overall satisfied with the buy however.  Puma products I have purchased in the past fit better out of the box--the size you bought was the size you got. I would give it a 4.5 if I could FWIW.
"
48,"
Black Pumas With a brown sole are a bit rare. Sneaker heads know! I got these in 3 days!! NICE I've got this shoe in every color I can find. Do yourself a favor get 2 pair the black with white sole is sharp looking as well. I ride my HARLEY in these, work, workout you name it Puma is for the ""Big Cats"" If that's you...This your shoe. Or if your not impressed the return policy is top notch. No im not a paid spokesperson I give straight up reviews if its crap I make it more than known. If its quality as in this case ill let you know? Still can't believe they had the brown sole? AWESOME!!
"
49,"
My original pair I had for years and were the most comfortable tennis shoes I had.Found them again on here and at the best price
"
50,"
Todo. para trabajar
"
51,"
Fits exactly as expected. Very comfortable and nice looking.
"
52,"
The shoe box is very tight, but after breaking them in, they fit decently. They don't hurt my feet, and they look absolutely beautiful, so I'm happy.
"
53,"
Runs small so size up.
"
54,"
Took me back to high school in the late 80’s.
"
55,"
Dislike the narrow of the 👟 and the length.
"
56,"
Great looking sneaker.  That's the positive.  The negative, reality, is that this sneaker is, by far, the tightest, harshest fit across the top of my foot of any sneaker that I have purchased in the past 45 years.  After 20 minutes of wearing these Puma sneakers on an airplane flight, for example, I had to take them off just to get circulation back.  No exaggeration.  Same when I'm sitting in a chair in my office.Size 13 (my normal sneaker) with a thin sock.  I'm 6'2, 210 lbs, athletic build, medium foot width.  For now, I'm stuck with these because I foolishly tossed the Puma box - - cannot return these Puma sneakers or I would do so in a NY minute.  I've loosened up the laces, which gives these Puma sneakers a goofy, odd look aesthetically.  These Puma sneakers are going to the Salvation Army bin.
"
57,"
Have been wearing these types of Puma's forever.  Always well made and always very comfortable.  Looking to get more colors in the future.Keep it up Puma!
"
58,"
The left shoe is great but the right shoe has an uneven flooring and smashes the right toes. I wore for an hour+ and was in unbelievable pain despite sitting most of the time. I’ll give to Goodwill and seek another brand. (The similar Pumas I bought years ago were very comfortable. Sigh.)
"
59,"
All right
"
60,"
good quality
"
61,"
Great buy
"
62,"
Great shoe, good quality, but the shoe is a bit on the narrow side.
"
63,"
I stand on my feet all day anywhere from 8-12hrs a day in a warehouse so comfortable shoes are a must and these fit the bill. Good for walking/exercising too. I don't like to write reviews too soon after getting stuff so they are a bit worn in the photo, the black dots are ink I spilled at work not a part of the design or flaws just fyi :-)
"
64,"
Excellent fit
"
65,"
Fits great and looks great! Also very comfortable!
"
66,"
Look and feel like the 80s pumas
"
67,"
I have this before and give it to someone, so decide to do a matching trip with my family wich did include long walks. They all love it so did I. Sneakers came very nice, clean NEW and had no issues. I'll be waiting to get Burgundy color one, I love them confortable, wide, arch support, honestly no complaints of the sneakers or the seller.i bought 3 pairs all came in their boxes and not a single scratch.
"
68,"
These shoes are not suede like I thought but some cotton/polyester blend which is ok. If  you have feet that are a little wide or a lot these are not the shoes for you. They are narrow in the toe and tight fitting. They look awesome on the shelf.
"
69,"
They ran a bit smaller than usual puma clydes.  The size 12 fit but it was a bit tight.
"
70,"
Extremely comfortable and durable shoes that go with almost any casual outfit. My go-to travel shoe!
"
71,"
Me agradan por clásicas conserven el estilo funcionan para diferentes ocasiones
"
72,"




                    The media could not be loaded.
                


"
